"code";"parentCode";"level";"name";"shortName";"notes";"validFrom";"validTo"
"0301";"";"1";"Oslo";;"I 1980 ble del av 0231 Skedsmo overført til 0301 Oslo. I 1984 ble deler av 0233 Nittedal overført til 0301 Oslo og motsatt."
"1101";"";"1";"Eigersund";;"I 1967 ble 1101 Eigersund del overført til 1111 Sokndal (gården Tjørn)."
"1103";"";"1";"Stavanger";;""
"1106";"";"1";"Haugesund";;""
"1108";"";"1";"Sandnes";;""
"1111";"";"1";"Sokndal";;"I 1947 ble 1111 Sokndal del overført til 1116 Eigersund. I 1967 ble 1101 Eigersund del overført til 1111 Sokndal (gården Tjørn)."
"1112";"";"1";"Lund";;""
"1114";"";"1";"Bjerkreim";;""
"1119";"";"1";"Hå";;""
"1120";"";"1";"Klepp";;"1120 Klepp har hatt de same grensene siden formannskapsloven i 1837."
"1121";"";"1";"Time";;"I 1970 og 1989 ble 1121 Time del overført til 1122 Gjesdal. I 2013 ble et område overført fra 1121 Time kommune til 1122 Gjesdal kommune. Det overførte området ble ny grunnkrets i Gjesdal kommune med betegnelsen 11220115 Midtfjell."
"1122";"";"1";"Gjesdal";;"I 1970 og 1989 ble 1121 Time del overført til 1122 Gjesdal. I 2013 ble et område overført fra 1121 Time kommune til 1122 Gjesdal kommune. Det overførte området ble ny grunnkrets i Gjesdal kommune med betegnelsen 11220115 Midtfjell."
"1124";"";"1";"Sola";;"Fra 1. januar 2017 ble det foretatt en kommunegrenseendring mellom kommunene 1124 Sola og 1102 Sandnes."
"1127";"";"1";"Randaberg";;""
"1130";"";"1";"Strand";;""
"1133";"";"1";"Hjelmeland";;""
"1134";"";"1";"Suldal";;"I 1978 ble 1154 Vindafjord del overført til 1134 Suldal (Vormestrand krets)."
"1135";"";"1";"Sauda";;""
"1144";"";"1";"Kvitsøy";;""
"1145";"";"1";"Bokn";;""
"1146";"";"1";"Tysvær";;""
"1149";"";"1";"Karmøy";;""
"1151";"";"1";"Utsira";;""
"1160";"";"1";"Vindafjord";;""
"1505";"";"1";"Kristiansund";;""
"1506";"";"1";"Molde";;""
"1507";"";"1";"Ålesund";;"I 2024 ble 1507 Ålesund delt i 1508 Ålesund og 1580 Haram. Grensen mellom kommunene følger grensen for Haram kommune slik den var før sammenslåingen 1. januar 2020."
"1511";"";"1";"Vanylven";;"I 2002 ble et område (grunnkretsene 0101 Sørbrandal og 0102 Hakallestranda) overført fra 1514 Sande kommune til 1511 Vanylven kommune."
"1514";"";"1";"Sande";;""
"1515";"";"1";"Herøy (Møre og Romsdal)";;""
"1516";"";"1";"Ulstein";;""
"1517";"";"1";"Hareid";;"1.7.1958 ble 1517 Hareid del overført til 1531 Borgund."
"1520";"";"1";"Ørsta";;""
"1525";"";"1";"Stranda";;""
"1528";"";"1";"Sykkylven";;"1.6.1955 ble 1527 Ørskog del overført til 1528 Sykkylven."
"1531";"";"1";"Sula";;""
"1532";"";"1";"Giske";;""
"1535";"";"1";"Vestnes";;"I 2021 ble grunnkrets 15390106 Våge til nye 15350308 Våge og grunnkrets 15390107 Hjelvik ble til 15350309 Hjelvik."
"1539";"";"1";"Rauma";;"I 2021 ble grunnkrets 15390106 Våge til nye 15350308 Våge og grunnkrets 15390107 Hjelvik ble til 15350309 Hjelvik."
"1547";"";"1";"Aukra";;""
