Nivå 0;Nivå 0 navn;Nivå 1;Nivå 1 navn;Nivå 2;Nivå 2 navn;Nivå 3;Nivå 3 navn;Nivå 4;Nivå 4 navn;Nivå 5;Nivå 5 navn;Type;Nivå 6;Nivå 6 navn;Ytelsesksted?;Hjelpekolonne;BESKRIVELSE;ATTRIBUTE14;ATTRIBUTE15;CREATION_DATE;SUMMARY_FLAG;START_DATE_ACTIVE;END_DATE_ACTIVE;;Sisrte bruksdato;;;;;;;
;NAV;E;Økonomi;EB;Økonomilinjen;EBX ;Avsluttede kostnadssteder Økonomilinjen;EBX98;Avsluttede kostnadssteder Økonomilinjen;000000;AVSL Uspesifisert;;;;;000000;AVSL Uspesifisert;;;03.12.2013;N;;31.12.2014;;26.01.2023;;#I/T;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA02;NAV Halden;010100;NAV Halden;;;;;010100;NAV Halden;NAV-kontor;0101000;03.12.2013;N;;;;26.01.2023;;010100;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA03;NAV Moss;010400;NAV Moss;;;;;010400;NAV Moss;NAV-kontor;0104000;03.12.2013;N;;;;26.01.2023;;010400;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA04;NAV Sarpsborg;010500;NAV Sarpsborg;;;;;010500;NAV Sarpsborg;NAV-kontor;0105000;03.12.2013;N;;;;26.01.2023;;010500;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA05;NAV Fredrikstad;010600;NAV Fredrikstad;;;;;010600;NAV Fredrikstad;NAV-kontor;0106000;03.12.2013;N;;;;26.01.2023;;010600;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA06;NAV Hvaler;011100;NAV Hvaler;;;;;011100;NAV Hvaler;NAV-kontor;0111000;03.12.2013;N;;;;25.01.2023;;011100;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;011800;AVSL NAV Aremark;;;;;011800;AVSL NAV Aremark;;;03.12.2013;N;;24.09.2021;;21.09.2021;;011800;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA07;NAV Marker;011900;NAV Marker;;;;;011900;NAV Marker;NAV-kontor;0119000;03.12.2013;N;;;;25.01.2023;;011900;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;012100;AVSL NAV Rømskog;;;;;012100;AVSL NAV Rømskog;;;03.12.2013;N;;24.09.2021;;26.02.2020;;#I/T;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;012200;AVSL NAV Trøgstad;;;;;012200;AVSL NAV Trøgstad;;;03.12.2013;N;;17.02.2020;;11.01.2022;;#I/T;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;012300;AVSL NAV Spydeberg;;;;;012300;AVSL NAV Spydeberg;;;03.12.2013;N;;24.09.2021;;29.11.2022;;#I/T;;;;;
